date,Country/Region,Province/State,Confirmed,Deaths,Recovered,Latitude,Longitude,Active
2020-01-22,France,,0,0,0,,,0
2020-01-23,France,,0,0,0,,,0
2020-01-24,France,,2,0,0,,,2
2020-01-25,France,,3,0,0,,,3
2020-01-26,France,,3,0,0,,,3
2020-01-27,France,,3,0,0,,,3
2020-01-28,France,,4,0,0,,,4
2020-01-28,Germany,Bavaria,4,0,0,,,4
2020-01-29,France,,5,0,0,,,5
2020-01-29,Germany,Bavaria,4,0,0,,,4
2020-01-29,Finland,,1,0,0,,,1
2020-01-30,France,,5,0,0,,,5
2020-01-30,Germany,Bavaria,4,0,0,,,4
2020-01-30,Finland,,1,0,0,,,1
2020-01-31,France,,5,0,0,,,5
2020-01-31,Germany,Bavaria,5,0,0,,,5
2020-01-31,Italy,,2,0,0,,,2
2020-01-31,Finland,,1,0,0,,,1
2020-01-31,Sweden,,1,0,0,,,1
2020-02-01,Germany,,8,0,0,,,8
2020-02-01,France,,6,0,0,,,6
2020-02-01,Italy,,2,0,0,,,2
2020-02-01,Finland,,1,0,0,,,1
2020-02-01,Spain,,1,0,0,,,1
2020-02-01,Sweden,,1,0,0,,,1
2020-02-02,Germany,,10,0,0,,,10
2020-02-02,France,,6,0,0,,,6
2020-02-02,Italy,,2,0,0,,,2
2020-02-02,Finland,,1,0,0,,,1
2020-02-02,Spain,,1,0,0,,,1
2020-02-02,Sweden,,1,0,0,,,1
2020-02-03,Germany,,12,0,0,,,12
2020-02-03,France,,6,0,0,,,6
2020-02-03,Italy,,2,0,0,,,2
2020-02-03,Finland,,1,0,0,,,1
2020-02-03,Spain,,1,0,0,,,1
2020-02-03,Sweden,,1,0,0,,,1
2020-02-04,Germany,,12,0,0,,,12
2020-02-04,France,,6,0,0,,,6
2020-02-04,Italy,,2,0,0,,,2
2020-02-04,Belgium,,1,0,0,,,1
2020-02-04,Finland,,1,0,0,,,1
2020-02-04,Spain,,1,0,0,,,1
2020-02-04,Sweden,,1,0,0,,,1
2020-02-05,Germany,,12,0,0,,,12
2020-02-05,France,,6,0,0,,,6
2020-02-05,Italy,,2,0,0,,,2
2020-02-05,Belgium,,1,0,0,,,1
2020-02-05,Finland,,1,0,0,,,1
2020-02-05,Spain,,1,0,0,,,1
2020-02-05,Sweden,,1,0,0,,,1
2020-02-06,Germany,,12,0,0,,,12
2020-02-06,France,,6,0,0,,,6
2020-02-06,Italy,,2,0,0,,,2
2020-02-06,Belgium,,1,0,0,,,1
2020-02-06,Finland,,1,0,0,,,1
2020-02-06,Spain,,1,0,0,,,1
2020-02-06,Sweden,,1,0,0,,,1
2020-02-07,Germany,,13,0,0,,,13
2020-02-07,France,,6,0,0,,,6
2020-02-07,Italy,,3,0,0,,,3
2020-02-07,Belgium,,1,0,0,,,1
2020-02-07,Finland,,1,0,0,,,1
2020-02-07,Spain,,1,0,0,,,1
2020-02-07,Sweden,,1,0,0,,,1
2020-02-08,Germany,,13,0,0,,,13
2020-02-08,France,,11,0,0,,,11
2020-02-08,Italy,,3,0,0,,,3
2020-02-08,Belgium,,1,0,0,,,1
2020-02-08,Finland,,1,0,0,,,1
2020-02-08,Spain,,1,0,0,,,1
2020-02-08,Sweden,,1,0,0,,,1
2020-02-09,Germany,,14,0,0,,,14
2020-02-09,France,,11,0,0,,,11
2020-02-09,Italy,,3,0,0,,,3
2020-02-09,Spain,,2,0,0,,,2
2020-02-09,Belgium,,1,0,0,,,1
2020-02-09,Finland,,1,0,0,,,1
2020-02-09,Sweden,,1,0,0,,,1
2020-02-10,Germany,,14,0,0,,,14
2020-02-10,France,,11,0,0,,,11
2020-02-10,Italy,,3,0,0,,,3
2020-02-10,Spain,,2,0,0,,,2
2020-02-10,Belgium,,1,0,0,,,1
2020-02-10,Finland,,1,0,0,,,1
2020-02-10,Sweden,,1,0,0,,,1
2020-02-11,Germany,,16,0,0,,,16
2020-02-11,France,,11,0,0,,,11
2020-02-11,Italy,,3,0,0,,,3
2020-02-11,Spain,,2,0,0,,,2
2020-02-11,Belgium,,1,0,0,,,1
2020-02-11,Finland,,1,0,0,,,1
2020-02-11,Sweden,,1,0,0,,,1
2020-02-12,Germany,,16,0,0,,,16
2020-02-12,France,,11,0,2,,,9
2020-02-12,Italy,,3,0,0,,,3
2020-02-12,Spain,,2,0,0,,,2
2020-02-12,Belgium,,1,0,0,,,1
2020-02-12,Finland,,1,0,1,,,0
2020-02-12,Sweden,,1,0,0,,,1
2020-02-13,Germany,,16,0,1,,,15
2020-02-13,France,,11,0,2,,,9
2020-02-13,Italy,,3,0,0,,,3
2020-02-13,Spain,,2,0,0,,,2
2020-02-13,Belgium,,1,0,0,,,1
2020-02-13,Finland,,1,0,1,,,0
2020-02-13,Sweden,,1,0,0,,,1
2020-02-14,Germany,,16,0,1,,,15
2020-02-14,France,,11,0,2,,,9
2020-02-14,Italy,,3,0,0,,,3
2020-02-14,Spain,,2,0,0,,,2
2020-02-14,Belgium,,1,0,0,,,1
2020-02-14,Finland,,1,0,1,,,0
2020-02-14,Sweden,,1,0,0,,,1
2020-02-15,Germany,,16,0,1,,,15
2020-02-15,France,,12,1,4,,,7
2020-02-15,Italy,,3,0,0,,,3
2020-02-15,Spain,,2,0,2,,,0
2020-02-15,Belgium,,1,0,0,,,1
2020-02-15,Finland,,1,0,1,,,0
2020-02-15,Sweden,,1,0,0,,,1
2020-02-16,Germany,,16,0,1,,,15
